period_id,policy_id,region_id,season_type,std_category,original_name,start_time,end_time,price,source_id,notes
SD_P6,SD_COMM_1,SD,1-2月/12月,谷,低谷,10:00,15:00,0.1968,SD_2026_公告,含深谷时段
SD_P7,SD_COMM_1,SD,1-2月/12月,深谷,深谷,11:00,14:00,0.0656,SD_2026_公告,深谷下浮90%
SD_P8,SD_COMM_1,SD,3-5月,尖峰,尖峰,17:00,20:00,1.3118,SD_2026_公告,春季尖峰时段
SD_P9,SD_COMM_1,SD,3-5月,峰,高峰,17:00,22:00,1.1150,SD_2026_公告,含尖峰重叠
SD_P10,SD_COMM_1,SD,3-5月,谷,低谷,10:00,15:00,0.1968,SD_2026_公告,含深谷时段
SD_P11,SD_COMM_1,SD,3-5月,深谷,深谷,11:00,14:00,0.0656,SD_2026_公告,
SD_P12,SD_COMM_1,SD,6月,尖峰,尖峰,17:00,22:00,1.3118,SD_2026_公告,夏季6月尖峰时段
SD_P13,SD_COMM_1,SD,6月,峰,高峰,16:00,23:00,1.1150,SD_2026_公告,含尖峰重叠
SD_P14,SD_COMM_1,SD,6月,谷,低谷,7:00,12:00,0.1968,SD_2026_公告,
SD_P15,SD_COMM_1,SD,7-8月,尖峰,尖峰,17:00,22:00,1.3118,SD_2026_公告,夏季7-8月尖峰时段
SD_P16,SD_COMM_1,SD,7-8月,峰,高峰,16:00,23:00,1.1150,SD_2026_公告,含尖峰重叠
SD_P17,SD_COMM_1,SD,7-8月,谷,低谷,1:00,6:00,0.1968,SD_2026_公告,
SD_P18,SD_COMM_1,SD,9-11月,尖峰,尖峰,17:00,19:00,1.3118,SD_2026_公告,秋季尖峰时段
SD_P19,SD_COMM_1,SD,9-11月,峰,高峰,16:00,21:00,1.1150,SD_2026_公告,含尖峰重叠
SD_P20,SD_COMM_1,SD,9-11月,谷,低谷,10:00,15:00,0.1968,SD_2026_公告,含深谷时段
SD_P21,SD_COMM_1,SD,9-11月,深谷,深谷,11:00,14:00,0.0656,SD_2026_公告,
SD_P22,SD_RES_1,SD,全年,峰,峰段,6:00,22:00,0.5769,SD_2026_电价表,居民峰谷分时
SD_P23,SD_RES_1,SD,全年,谷,谷段,22:00,6:00,0.3169,SD_2026_电价表,居民峰谷分时 跨夜
ZJ_P1,ZJ_COMM_1,ZJ,夏冬季,尖峰,尖峰,18:00,22:00,1.2404,ZJ_2026_112,夏冬季1/7/8/12月
ZJ_P2,ZJ_COMM_1,ZJ,夏冬季,高峰,高峰,16:00,18:00,1.1447,ZJ_2026_112,
ZJ_P3,ZJ_COMM_1,ZJ,夏冬季,高峰,高峰,22:00,23:00,1.1447,ZJ_2026_112,
ZJ_P4,ZJ_COMM_1,ZJ,夏冬季,平,平段,7:00,11:00,0.7380,ZJ_2026_112,
ZJ_P5,ZJ_COMM_1,ZJ,夏冬季,平,平段,14:00,16:00,0.7380,ZJ_2026_112,
ZJ_P6,ZJ_COMM_1,ZJ,夏冬季,平,平段,23:00,24:00,0.7380,ZJ_2026_112,
ZJ_P7,ZJ_COMM_1,ZJ,夏冬季,谷,低谷,0:00,7:00,0.4509,ZJ_2026_112,
ZJ_P8,ZJ_COMM_1,ZJ,夏冬季,谷,低谷,11:00,14:00,0.4509,ZJ_2026_112,午间低谷3小时
ZJ_P9,ZJ_COMM_2,ZJ,春秋季,高峰,高峰,16:00,23:00,1.1447,ZJ_2026_112,春秋季无尖峰
ZJ_P10,ZJ_COMM_2,ZJ,春秋季,平,平段,7:00,11:00,0.7380,ZJ_2026_112,
ZJ_P11,ZJ_COMM_2,ZJ,春秋季,平,平段,14:00,16:00,0.7380,ZJ_2026_112,
ZJ_P12,ZJ_COMM_2,ZJ,春秋季,平,平段,23:00,24:00,0.7380,ZJ_2026_112,
ZJ_P13,ZJ_COMM_2,ZJ,春秋季,谷,低谷,0:00,7:00,0.4509,ZJ_2026_112,
ZJ_P14,ZJ_COMM_2,ZJ,春秋季,谷,低谷,11:00,14:00,0.4509,ZJ_2026_112,午间低谷3小时
ZJ_P15,ZJ_COMM_1,ZJ,节假日,深谷,深谷,9:00,15:00,0.3552,ZJ_2026_112,劳动节/国庆节前三天 春节假期
NM_P1,NM_COMM_1,NM,大风季,峰,峰时段,6:00,8:00,0.8017,NM_2024_分时,蒙西电网 大风季1-5月/9-12月
NM_P2,NM_COMM_1,NM,大风季,峰,峰时段,18:00,22:00,0.8017,NM_2024_分时,蒙西电网 大风季
NM_P3,NM_COMM_1,NM,大风季,平,平时段,4:00,6:00,0.4772,NM_2024_分时,蒙西电网 大风季
NM_P4,NM_COMM_1,NM,大风季,平,平时段,8:00,11:00,0.4772,NM_2024_分时,蒙西电网 大风季
NM_P5,NM_COMM_1,NM,大风季,平,平时段,16:00,18:00,0.4772,NM_2024_分时,蒙西电网 大风季
NM_P6,NM_COMM_1,NM,大风季,平,平时段,22:00,24:00,0.4772,NM_2024_分时,蒙西电网 大风季
NM_P7,NM_COMM_1,NM,大风季,谷,谷时段,0:00,4:00,0.2291,NM_2024_分时,蒙西电网 大风季
NM_P8,NM_COMM_1,NM,大风季,谷,谷时段,11:00,16:00,0.2291,NM_2024_分时,蒙西电网 大风季 午间谷电5小时
NM_P9,NM_COMM_2,NM,小风季,峰,峰时段,6:00,8:00,0.7349,NM_2024_分时,蒙西电网 小风季6-8月
NM_P10,NM_COMM_2,NM,小风季,峰,峰时段,18:00,22:00,0.7349,NM_2024_分时,蒙西电网 小风季
NM_P11,NM_COMM_2,NM,小风季,平,平时段,0:00,6:00,0.4772,NM_2024_分时,蒙西电网 小风季
NM_P12,NM_COMM_2,NM,小风季,平,平时段,8:00,11:00,0.4772,NM_2024_分时,蒙西电网 小风季
NM_P13,NM_COMM_2,NM,小风季,平,平时段,16:00,18:00,0.4772,NM_2024_分时,蒙西电网 小风季
NM_P14,NM_COMM_2,NM,小风季,平,平时段,22:00,24:00,0.4772,NM_2024_分时,蒙西电网 小风季
NM_P15,NM_COMM_2,NM,小风季,谷,谷时段,11:00,16:00,0.2100,NM_2024_分时,蒙西电网 小风季 午间谷电5小时
