id,region_id,user_type,season_type,hour,standard_category,price_value,data_status
63,3,大工业用电,夏季,14,深谷,0.0483,modeled
64,3,大工业用电,夏季,15,平,0.4827,estimated
65,3,大工业用电,夏季,16,峰,0.7240,modeled
66,3,大工业用电,夏季,17,峰,0.7240,modeled
67,3,大工业用电,夏季,18,峰,0.7240,modeled
68,3,大工业用电,夏季,19,尖峰,0.9450,modeled
69,3,大工业用电,夏季,20,尖峰,0.9450,modeled
70,3,大工业用电,夏季,21,峰,0.7240,modeled
71,3,大工业用电,夏季,22,平,0.4827,estimated
72,3,大工业用电,夏季,23,平,0.4827,estimated
73,4,大工业用电,夏冬季,0,谷,0.2577,modeled
74,4,大工业用电,夏冬季,1,谷,0.2577,modeled
75,4,大工业用电,夏冬季,2,谷,0.2577,modeled
76,4,大工业用电,夏冬季,3,谷,0.2577,modeled
77,4,大工业用电,夏冬季,4,谷,0.2577,modeled
78,4,大工业用电,夏冬季,5,谷,0.2577,modeled
79,4,大工业用电,夏冬季,6,谷,0.2577,modeled
80,4,大工业用电,夏冬季,7,谷,0.2577,modeled
81,4,大工业用电,夏冬季,8,峰,0.9450,modeled
82,4,大工业用电,夏冬季,9,尖峰,1.1340,modeled
83,4,大工业用电,夏冬季,10,尖峰,1.1340,modeled
84,4,大工业用电,夏冬季,11,谷,0.2577,modeled
85,4,大工业用电,夏冬季,12,谷,0.2577,modeled
86,4,大工业用电,夏冬季,13,平,0.5727,estimated
87,4,大工业用电,夏冬季,14,平,0.5727,estimated
88,4,大工业用电,夏冬季,15,尖峰,1.1340,modeled
89,4,大工业用电,夏冬季,16,尖峰,1.1340,modeled
90,4,大工业用电,夏冬季,17,峰,0.9450,modeled
91,4,大工业用电,夏冬季,18,峰,0.9450,modeled
92,4,大工业用电,夏冬季,19,峰,0.9450,modeled
93,4,大工业用电,夏冬季,20,峰,0.9450,modeled
94,4,大工业用电,夏冬季,21,峰,0.9450,modeled
95,4,大工业用电,夏冬季,22,峰,0.9450,modeled
96,4,大工业用电,夏冬季,23,平,0.5727,estimated
97,5,大工业用电,全年,0,谷,0.2861,modeled
98,5,大工业用电,全年,1,谷,0.2861,modeled
99,5,大工业用电,全年,2,谷,0.2861,modeled
100,5,大工业用电,全年,3,谷,0.2861,modeled
101,5,大工业用电,全年,4,谷,0.2861,modeled
102,5,大工业用电,全年,5,平,0.5108,estimated
103,5,大工业用电,全年,6,平,0.5108,estimated
104,5,大工业用电,全年,7,平,0.5108,estimated
105,5,大工业用电,全年,8,峰,0.7560,modeled
106,5,大工业用电,全年,9,峰,0.7560,modeled
107,5,大工业用电,全年,10,峰,0.7560,modeled
108,5,大工业用电,全年,11,平,0.5108,estimated
109,5,大工业用电,全年,12,平,0.5108,estimated
110,5,大工业用电,全年,13,平,0.5108,estimated
111,5,大工业用电,全年,14,平,0.5108,estimated
112,5,大工业用电,全年,15,平,0.5108,estimated
113,5,大工业用电,全年,16,平,0.5108,estimated
114,5,大工业用电,全年,17,峰,0.7560,modeled
115,5,大工业用电,全年,18,峰,0.7560,modeled
116,5,大工业用电,全年,19,峰,0.7560,modeled
117,5,大工业用电,全年,20,峰,0.7560,modeled
118,5,大工业用电,全年,21,平,0.5108,estimated
119,5,大工业用电,全年,22,平,0.5108,estimated
120,5,大工业用电,全年,23,平,0.5108,estimated
