id,policy_id,region_id,season_type,original_name,standard_category,start_time,end_time,price,float_ratio,user_type,voltage_level,data_type
126,10,4,春秋季,低谷,低谷,00:00,08:00,0.315,0.45,大工业,1-10(20)kV及以上,real
127,10,4,春秋季,低谷,低谷,11:00,13:00,0.315,0.45,大工业,1-10(20)kV及以上,real
128,11,4,夏冬季,尖峰,尖峰,09:00,11:00,1.386,1.98,大工业,1-10(20)kV及以上,real
129,11,4,夏冬季,尖峰,尖峰,15:00,17:00,1.386,1.98,大工业,1-10(20)kV及以上,real
130,11,4,夏冬季,高峰,高峰,08:00,09:00,1.155,1.65,大工业,1-10(20)kV及以上,real
131,11,4,夏冬季,高峰,高峰,17:00,23:00,1.155,1.65,大工业,1-10(20)kV及以上,real
132,11,4,夏冬季,平段,平段,13:00,15:00,0.7,1,大工业,1-10(20)kV及以上,real
133,11,4,夏冬季,平段,平段,23:00,24:00,0.7,1,大工业,1-10(20)kV及以上,real
134,11,4,夏冬季,低谷,低谷,00:00,08:00,0.266,0.38,大工业,1-10(20)kV及以上,real
135,11,4,夏冬季,低谷,低谷,11:00,13:00,0.266,0.38,大工业,1-10(20)kV及以上,real
136,14,5,"大风季(1-5月,9-12月)",高峰,高峰,06:00,08:00,0.6963,1.68,工商业,不满1kV单一制,real
137,14,5,"大风季(1-5月,9-12月)",高峰,高峰,18:00,22:00,0.6963,1.68,工商业,不满1kV单一制,real
138,14,5,"大风季(1-5月,9-12月)",平段,平段,04:00,06:00,0.4933,1,工商业,不满1kV单一制,real
139,14,5,"大风季(1-5月,9-12月)",平段,平段,08:00,11:00,0.4933,1,工商业,不满1kV单一制,real
140,14,5,"大风季(1-5月,9-12月)",平段,平段,16:00,18:00,0.4933,1,工商业,不满1kV单一制,real
141,14,5,"大风季(1-5月,9-12月)",平段,平段,22:00,24:00,0.4933,1,工商业,不满1kV单一制,real
142,14,5,"大风季(1-5月,9-12月)",低谷,低谷,00:00,04:00,0.3381,0.48,工商业,不满1kV单一制,real
143,14,5,"大风季(1-5月,9-12月)",低谷,低谷,11:00,16:00,0.3381,0.48,工商业,不满1kV单一制,real
144,15,5,小风季(6-8月),高峰,高峰,06:00,08:00,,1.54,工商业,不满1kV单一制,real
145,15,5,小风季(6-8月),高峰,高峰,18:00,22:00,,1.54,工商业,不满1kV单一制,real
146,15,5,小风季(6-8月),平段,平段,00:00,06:00,,1,工商业,不满1kV单一制,real
147,15,5,小风季(6-8月),平段,平段,08:00,11:00,,1,工商业,不满1kV单一制,real
148,15,5,小风季(6-8月),平段,平段,16:00,18:00,,1,工商业,不满1kV单一制,real
149,15,5,小风季(6-8月),平段,平段,22:00,24:00,,1,工商业,不满1kV单一制,real
150,15,5,小风季(6-8月),低谷,低谷,11:00,16:00,,0.44,工商业,不满1kV单一制,real
