id,province_id,type_id,season,original_period_name,standard_category,start_time,end_time,price_yuan_per_kwh,effective_date,expiry_date,source_id,notes
18,js,js_gs_1,all,高峰,高峰,08:00,12:00,0.9856,2024-07-01,2025-12-31,src-js-001,江苏省高峰电价
19,js,js_gs_1,all,高峰,高峰,17:00,21:00,0.9856,2024-07-01,2025-12-31,src-js-001,江苏省高峰电价
20,js,js_gs_1,all,平段,平段,12:00,17:00,0.6528,2024-07-01,2025-12-31,src-js-001,江苏省平段电价
21,js,js_gs_1,all,平段,平段,21:00,24:00,0.6528,2024-07-01,2025-12-31,src-js-001,江苏省平段电价
22,js,js_gs_1,all,低谷,低谷,00:00,08:00,0.3200,2024-07-01,2025-12-31,src-js-001,江苏省低谷电价
23,sd,sd_gs_1,summer,高峰,高峰,08:30,11:30,0.9245,2024-06-01,2025-12-31,src-sd-001,山东省夏季高峰电价
24,sd,sd_gs_1,summer,高峰,高峰,16:00,21:00,0.9245,2024-06-01,2025-12-31,src-sd-001,山东省夏季高峰电价
25,sd,sd_gs_1,summer,平段,平段,06:00,08:30,0.6125,2024-06-01,2025-12-31,src-sd-001,山东省夏季平段电价
26,sd,sd_gs_1,summer,平段,平段,11:30,16:00,0.6125,2024-06-01,2025-12-31,src-sd-001,山东省夏季平段电价
27,sd,sd_gs_1,summer,平段,平段,21:00,22:00,0.6125,2024-06-01,2025-12-31,src-sd-001,山东省夏季平段电价
28,sd,sd_gs_1,summer,低谷,低谷,22:00,24:00,0.3005,2024-06-01,2025-12-31,src-sd-001,山东省夏季低谷电价
29,sd,sd_gs_1,summer,低谷,低谷,00:00,06:00,0.3005,2024-06-01,2025-12-31,src-sd-001,山东省夏季低谷电价（跨日）
30,sd,sd_gs_1,winter,高峰,高峰,08:30,11:30,0.9245,2024-06-01,2025-12-31,src-sd-001,山东省冬季高峰电价
31,sd,sd_gs_1,winter,高峰,高峰,16:00,21:00,0.9245,2024-06-01,2025-12-31,src-sd-001,山东省冬季高峰电价
32,sd,sd_gs_1,winter,平段,平段,06:00,08:30,0.6125,2024-06-01,2025-12-31,src-sd-001,山东省冬季平段电价
33,sd,sd_gs_1,winter,平段,平段,11:30,16:00,0.6125,2024-06-01,2025-12-31,src-sd-001,山东省冬季平段电价
34,sd,sd_gs_1,winter,平段,平段,21:00,22:00,0.6125,2024-06-01,2025-12-31,src-sd-001,山东省冬季平段电价
35,sd,sd_gs_1,winter,低谷,低谷,22:00,24:00,0.3005,2024-06-01,2025-12-31,src-sd-001,山东省冬季低谷电价
36,sd,sd_gs_1,winter,低谷,低谷,00:00,06:00,0.3005,2024-06-01,2025-12-31,src-sd-001,山东省冬季低谷电价（跨日）
37,zj,zj_gs_1,all,高峰,高峰,08:00,11:00,1.0125,2024-07-01,2025-12-31,src-zj-001,浙江省高峰电价
38,zj,zj_gs_1,all,高峰,高峰,13:00,17:00,1.0125,2024-07-01,2025-12-31,src-zj-001,浙江省高峰电价
39,zj,zj_gs_1,all,高峰,高峰,20:00,22:00,1.0125,2024-07-01,2025-12-31,src-zj-001,浙江省高峰电价
40,zj,zj_gs_1,all,平段,平段,06:00,08:00,0.6688,2024-07-01,2025-12-31,src-zj-001,浙江省平段电价
41,zj,zj_gs_1,all,平段,平段,11:00,13:00,0.6688,2024-07-01,2025-12-31,src-zj-001,浙江省平段电价
42,zj,zj_gs_1,all,平段,平段,17:00,20:00,0.6688,2024-07-01,2025-12-31,src-zj-001,浙江省平段电价
43,zj,zj_gs_1,all,平段,平段,22:00,24:00,0.6688,2024-07-01,2025-12-31,src-zj-001,浙江省平段电价
44,zj,zj_gs_1,all,低谷,低谷,00:00,06:00,0.3252,2024-07-01,2025-12-31,src-zj-001,浙江省低谷电价
45,nmg,nmg_gs_1,all,高峰,高峰,07:30,11:30,0.8542,2024-05-01,2025-12-31,src-nmg-001,内蒙古蒙西地区高峰电价
46,nmg,nmg_gs_1,all,高峰,高峰,17:00,21:00,0.8542,2024-05-01,2025-12-31,src-nmg-001,内蒙古蒙西地区高峰电价
47,nmg,nmg_gs_1,all,平段,平段,05:00,07:30,0.5685,2024-05-01,2025-12-31,src-nmg-001,内蒙古蒙西地区平段电价
48,nmg,nmg_gs_1,all,平段,平段,11:30,17:00,0.5685,2024-05-01,2025-12-31,src-nmg-001,内蒙古蒙西地区平段电价
49,nmg,nmg_gs_1,all,平段,平段,21:00,23:00,0.5685,2024-05-01,2025-12-31,src-nmg-001,内蒙古蒙西地区平段电价
50,nmg,nmg_gs_1,all,低谷,低谷,23:00,24:00,0.2827,2024-05-01,2025-12-31,src-nmg-001,内蒙古蒙西地区低谷电价
51,nmg,nmg_gs_1,all,低谷,低谷,00:00,05:00,0.2827,2024-05-01,2025-12-31,src-nmg-001,内蒙古蒙西地区低谷电价（跨日）
