id,policy_id,period_name,standard_category,start_time,end_time,price,unit,is_next_day,remarks,created_at
26,3,低谷,谷,00:00,08:00,0.3722,元/kWh,0,,2026-07-27 09:25:19
27,4,高峰,峰,08:00,11:00,1.0208,元/kWh,0,,2026-07-27 09:25:19
28,4,高峰,峰,17:00,21:00,1.0208,元/kWh,0,,2026-07-27 09:25:19
29,4,平段,平,11:00,17:00,0.6965,元/kWh,0,,2026-07-27 09:25:19
30,4,平段,平,21:00,24:00,0.6965,元/kWh,0,,2026-07-27 09:25:19
31,4,低谷,谷,00:00,08:00,0.3722,元/kWh,0,,2026-07-27 09:25:19
32,5,尖峰,尖,10:00,11:00,1.2105,元/kWh,0,,2026-07-27 09:25:19
33,5,尖峰,尖,16:00,17:00,1.2105,元/kWh,0,,2026-07-27 09:25:19
34,5,高峰,峰,08:00,10:00,1.0472,元/kWh,0,,2026-07-27 09:25:19
35,5,高峰,峰,15:00,16:00,1.0472,元/kWh,0,,2026-07-27 09:25:19
36,5,高峰,峰,17:00,22:00,1.0472,元/kWh,0,,2026-07-27 09:25:19
37,5,平段,平,07:00,08:00,0.7124,元/kWh,0,,2026-07-27 09:25:19
38,5,平段,平,11:00,15:00,0.7124,元/kWh,0,,2026-07-27 09:25:19
39,5,平段,平,22:00,23:00,0.7124,元/kWh,0,,2026-07-27 09:25:19
40,5,低谷,谷,23:00,24:00,0.3776,元/kWh,0,,2026-07-27 09:25:19
41,5,低谷,谷,00:00,07:00,0.3776,元/kWh,0,,2026-07-27 09:25:19
42,6,尖峰,尖,09:00,11:00,1.2195,元/kWh,0,,2026-07-27 09:25:19
43,6,尖峰,尖,15:00,17:00,1.2195,元/kWh,0,,2026-07-27 09:25:19
44,6,高峰,峰,08:00,09:00,1.058,元/kWh,0,,2026-07-27 09:25:19
45,6,高峰,峰,13:00,15:00,1.058,元/kWh,0,,2026-07-27 09:25:19
46,6,高峰,峰,17:00,22:00,1.058,元/kWh,0,,2026-07-27 09:25:19
47,6,平段,平,07:00,08:00,0.7231,元/kWh,0,,2026-07-27 09:25:19
48,6,平段,平,11:00,13:00,0.7231,元/kWh,0,,2026-07-27 09:25:19
49,6,平段,平,22:00,23:00,0.7231,元/kWh,0,,2026-07-27 09:25:19
50,6,低谷,谷,23:00,24:00,0.3882,元/kWh,0,,2026-07-27 09:25:19
51,6,低谷,谷,00:00,07:00,0.3882,元/kWh,0,,2026-07-27 09:25:19
52,7,高峰,峰,08:00,11:00,1.058,元/kWh,0,,2026-07-27 09:25:19
53,7,高峰,峰,13:00,17:00,1.058,元/kWh,0,,2026-07-27 09:25:19
54,7,平段,平,07:00,08:00,0.7231,元/kWh,0,,2026-07-27 09:25:19
55,7,平段,平,11:00,13:00,0.7231,元/kWh,0,,2026-07-27 09:25:19
56,7,平段,平,17:00,23:00,0.7231,元/kWh,0,,2026-07-27 09:25:19
57,7,低谷,谷,23:00,24:00,0.3882,元/kWh,0,,2026-07-27 09:25:19
58,7,低谷,谷,00:00,07:00,0.3882,元/kWh,0,,2026-07-27 09:25:19
59,8,高峰,峰,08:00,12:00,0.9585,元/kWh,0,,2026-07-27 09:25:19
60,8,高峰,峰,17:00,21:00,0.9585,元/kWh,0,,2026-07-27 09:25:19
61,8,平段,平,07:00,08:00,0.6689,元/kWh,0,,2026-07-27 09:25:19
62,8,平段,平,12:00,17:00,0.6689,元/kWh,0,,2026-07-27 09:25:19
63,8,平段,平,21:00,23:00,0.6689,元/kWh,0,,2026-07-27 09:25:19
64,8,低谷,谷,23:00,24:00,0.3793,元/kWh,0,,2026-07-27 09:25:19
65,8,低谷,谷,00:00,07:00,0.3793,元/kWh,0,,2026-07-27 09:25:19
